query_num_results_total	query_num_results_page	query_page_number	query	serp_rank	serp_type	serp_url	serp_rating	serp_title	serp_domain	serp_visible_link	serp_snippet	serp_sitelinks	screenshot	meta_robots	meta_title	status	url	encoding	last_modified	text_raw
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	1	results	https://au.indeed.com/cmp/Freedom-Fuels/reviews	 Rating: 3.9 - ‎20 reviews	Working at Freedom Fuels: Employee Reviews | Indeed.comhttps://au.indeed.com/cmp/Freedom-Fuels/reviews	au.indeed.com	https://au.indeed.com/cmp/Freedom-Fuels/reviews	Service Station Attendant (Former Employee) – Bundaberg QLD – 12 May 2019. ... Freedom Fuels Pty Ltd is an average place to work. ... Most of the employees don't like their jobs and because Freedom Fuels isn't a well enough established fuel station it is a boring place to work.		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png		Working at Freedom Fuels: Employee Reviews | Indeed.com	200	https://au.indeed.com/cmp/Freedom-Fuels/reviews	utf-8		"Pros fun small place Cons bad pay Was this review helpful?Yes No Report Share Facebook Twitter Copy link 2.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Easy laid back place to work.
Console Operator Current Employee Brisbane QLD August 2019 This place is an easy laid back place to work.
Work load is easy to handle.
Happy staff and enviroment to work around.
Although it is easy they managers whom worked for do not care about anyone but themselves.
Working as casual my hours are always being cut.
This makes you feel quiting and not want to work them in general.
If you don’t make mind being called at all hours and don’t have family this will be good Pros Working with people Cons Long hours and always on call Was this review helpful?Yes No Report Share Facebook Twitter Copy link 3.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Average place to work, very boring, casual employees are treated as nothing.
CUSTOMER SERVICE ATTENDANT Former Employee Brisbane QLD 23 January 2019 Freedom Fuels Pty Ltd is an average place to work.
The company has casual pool for casual workers which means that you are able to work at other stores to pick up more hours and cover more shifts.
Most causal employees receive three to five hour shifts so if you don't live close to the store it's probably not worth it.
The work environment is decent but can vary depending on what store you go to.
Most of the employees don't like their jobs and because Freedom Fuels isn't well enough established fuel station it is boring place to work.
You won't receive breaks because you are working there alone.
If you smoke cigarettes it's probably not good place for you to work considering it is fuel station and strict policies are in place about smoking on site.
There isn't any career development here.
All in all an average place to work.
You will have to deal with customers constantly complaining about fuel prices if they rise.
Pros Staff discount on fuel and the hourly pay Cons No breaks because you are working independently most of the time, boring place to work, hard for career progression.
Was this review helpful?Yes 1No Report Share Facebook Twitter Copy link 4.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Decent, fairly cruisy job with support for progression Customer Service Assistant Former Employee Kuraby QLD 20 June 2018 One of the easier retail jobs I've had.
Some busy periods but mostly relaxed.
Not too much stock to manage.
No sales targets.
Management was decent and my regional was very supportive when wanted to work towards progression.
Pros Fairly easy, decent management Cons Slightly dull, more high risk than other retail Was this review helpful?Yes No Report Share Facebook Twitter Copy link 4.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Easy Work Customer Service Assistant Former Employee Queensland 15 April 2018 start at midnight on my own kept myself busy by cleaning ,stocking.
How to make coffee's cope with customers complaints.Talking with different types of people that was enjoyable didn't find anything hard about my job.
Was this review helpful?Yes No Report Share Facebook Twitter Copy link 3.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture summary Customer Service Former Employee Fernvale QLD 29 March 2018 everyday was different day which made it interesting and challenging.dealing with customers face to face ie complaints and also compliments,but as long as you have smile on your face that is the main thing.
Pros suitable for anyone over 18 Cons dealing with rusde customers Was this review helpful?Yes No Report Share Facebook Twitter Copy link 5.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Very structured Customer service Former Employee Withcott QLD 27 March 2018 very fast flowing.
easy to learn.
great co workers.
availability for all times of work.
always learning something new.
all other courses are done online.
Was this review helpful?Yes 1No Report Share Facebook Twitter Copy link 5.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture good company to work for Customer Service Attendant Current Employee Wooloowin QLD 19 January 2018 good company to work for. fun and productive environment. good if you want flexible roster and casual role.
I'm just looking for something full time Was this review helpful?Yes 1No Report Share Facebook Twitter Copy link 3.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Company great upper leval management not so good feel that the company has great area managers but they are afaid of there boss Manager Former Employee Brisbane QLD March 2017 feel it is great company but feel that upper level managers need some work.
Area managers are great but for some reason above that seems to be more like dictatorship.
need more hours Customer Service Attendant Current Employee Ipswich QLD 16 March 2016 am responsible for the daily operation of Service Station and dealing with customers and any problems that may arise.
really do enjoy dealing with the general public.
Was this review helpful?Yes No Report Share Facebook Twitter Copy link 3.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Generally good company to work for, shifts and hours change to often though.
Customer Service Attendant Current Employee Brisbane QLD 13 March 2016 Working for Freedom Fuels has generally been good experience other than that my shifts and hours keep changing quite dramatically.
Pros Good pay rates and working conditions Cons Shifts and hours are inconsistent Was this review helpful?Yes No Report Share Facebook Twitter Copy link 5.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Great company to work for with good company culture Business Development Manager Former Employee Brisbane, QLD 30 December 2015 Most days spent on the road calling on existing accounts and identifying potential new accounts.
Great support team in the office with very open management style.
testing part of the position was dealing with accounts with regards to the fluctuating fuel prices.
While the most enjoyable part was bringing on new customers.
Pros to be able to set up me own work week/month around goals that need to be achieved Was this review helpful?Yes No Report Share Facebook Twitter Copy link 4.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture Nice place to work Customer service Current Employee Brendale, QLD November 2015 Great workplace, good pay rates, friendly staff, flexible but semi reliable hours. hardest part of the job would be when the fuel pumps decide to shut down.
Loved the work and the customers, but upper management had no conflict resolution abilities.
Was this review helpful?Yes No Report Share Facebook Twitter Copy link 5.0 Job Work/Life Balance ---|--- Salary/Benefits Job Security/Advancement Management Job Culture fun Service Station Attendant Former Employee Ipswich, QLD May 2014 The reason left freedom fuels was because was looking after my daughter 24/7.
Left to look after my daughter.
Now shes back with her mother Was this review helpful?Yes No Report Share Facebook Twitter Copy link Review this company Claim this company page Review this company Want to know more about working here?
Ask question about working or interviewing at Freedom Fuels.
Our community is ready to answer.
Ask Question Overall rating 3.8 Based on 21 reviews 55 48 37 21 10 Ratings by category 4.2Work/Life Balance 3.5Salary/Benefits 3.4Job Security/Advancement 3.8Management 3.6Culture Questions about Freedom Fuels What should you wear to an interview at Freedom Fuels?
people answered How do you feel about going to work each day?
One person answered What is the annual leave policy like?
How many days of annual leave do you get per year?
One person answered How often do salary reviews and pay rises occur at Freedom Fuels?
One person answered Does Freedom Fuels have staff discount?
How much is Freedom Fuels’s staff discount?
See all questions and answers Show more Show less Freedom Fuels Reviews by Job Title Customer Service Representative 12 Console Operator Gas Station Attendant Store Manager Business Development Manager Freedom Fuels Reviews by Location Brisbane QLD Bundaberg QLD Ipswich QLD Wooloowin QLD For India jobs, visit Indeed India Jobs \- Browse Companies \- Salaries \- Browse Jobs \- Blog \- About \- Help Centre (C) 2019 Indeed Cookies, Privacy and Terms
"
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	2	results	https://www.facebook.com/pages/Freedom-Fuels/263062644028212		Freedom Fuels - Brisbane, Queensland, Australia - Gas Station ...https://www.facebook.com › Places › Brisbane, Queensland, Australia › Gas Station	www.facebook.com	https://www.facebook.com › Places › Brisbane, Queensland, Australia › Gas Station	Phone, +61 7 3892 5192 · Address. 46 Sherwood Road, Rocklea; Brisbane, Queensland, Australia 4106.		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png		Freedom Fuels - Brisbane, Queensland, Australia - рд╡рд╛рдпреВ рд╕реНрдерд╛рдирдХ | Facebook	200	https://www.facebook.com/pages/Freedom-Fuels/263062644028212	IBM866		"рдпреЗрдереЗ рдЬрд╛ рдпрд╛ рдкреГрд╖реНрдард╛рд╡рд░реАрд▓ рд╡рд┐рднрд╛рдЧ рдкреНрд░рд╡реЗрд╢рдХреНрд╖рдорддрд╛ рдорджрдд рд╣рд╛ рдореЗрдиреВ рдЙрдШрдбрдгреНрдпрд╛рд╕рд╛рдареА alt \+ рджрд╛рдмрд╛ Facebook рдИрдореЗрд▓ рдХрд┐рдВрд╡рд╛ рдлреЛрди| рдкрд╛рд╕рд╡рд░реНрдб ---|--- рдЦрд╛рддреЗ рд╡рд┐рд╕рд░рд▓рд╛рдд?
Freedom Fuels рд╡рд╛рдпреВ рд╕реНрдерд╛рдирдХ Unofficial Page ┬╖рдпрд╛рдард┐рдХрд╛рдгреА рд╕реНрдерд╛рдирдмрджреНрдз Brisbane, Queensland, Australia Damien Edwards рджреНрд╡рд╛рд░реЗ рд╕рд╣рдпреЛрдЧ рджрд┐рд▓реЗрд▓реЗ рдЫрд╛рдпрд╛рдЪрд┐рддреНрд░ Places Brisbane, Queensland, Australia рдСрдЯреЛрдореЛрдЯрд┐рд╡реНрд╣, рдПрдЕрд░рдХреНрд░рд╛рдлреНрдЯ, рдмреЛрдЯ рд╡рд╛рдпреВ рд╕реНрдерд╛рдирдХ Freedom Fuels `` `` `` `` `` `` `` `` `` `` `` ``
"
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	3	results	https://www.justdial.com/Thiruvananthapuram/Freedom-Fuels-Mullur/0471PX471-X471-140730115128-N3H8_BZDET	 Rating: 3.6 - ‎32 votes	Freedom Fuels in Mullur, Thiruvananthapuram - Justdialhttps://www.justdial.com/.../Freedom-Fuels.../0471PX471-X471-140730115128-N3H...	www.justdial.com	https://www.justdial.com/.../Freedom-Fuels.../0471PX471-X471-140730115128-N3H...	Freedom Fuels in Mullur, Thiruvananthapuram. 2 photos. Rated 3.6 based on 32 Ratings and Reviews. Visit Justdial for Address, Contact Number, Reviews ...		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png							
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	4	results	https://www.theguardian.com/business/2019/may/29/energy-department-molecules-freedom-fossil-fuel-rebranding		US energy department rebrands fossil fuels as 'molecules of freedom ...https://www.theguardian.com/.../energy-department-molecules-freedom-fossil-fuel-re...	www.theguardian.com	https://www.theguardian.com/.../energy-department-molecules-freedom-fossil-fuel-re...	May 29, 2019 - Press release from department said increasing export capacity is 'critical to spreading freedom gas throughout the world'		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png		US energy department rebrands fossil fuels as 'molecules of freedom' | Business | The Guardian	200	https://www.theguardian.com/business/2019/may/29/energy-department-molecules-freedom-fossil-fuel-rebranding	utf-8		"Photograph: Eric Gay/AP America is the land of freedom, as any politician will be happy to tell you.
What you don’t hear quite so often is that the stuff under the land is also apparently made of freedom as well.
That is, at least according to news release this week from the Department of Energy DoE Mark Menezes, the US undersecretary of energy, bestowed peculiar honorific on our continent’s natural resources, dubbing it “freedom gas” in release touting the DoE’s approval of increased exports of natural gas produced by Freeport LNG terminal off the coast of Texas.
“Increasing export capacity from the Freeport LNG project is critical to spreading freedom gas throughout the world by giving America’s allies diverse and affordable source of clean energy,” he said.
ryan cooper @ryanlcooper actual Trump admin quote: ""Increasing export capacity from the Freeport liquid natural gas project is critical to spreading freedom gas"" https://t.co/KgZdh3V2Mt May 29, 2019 The concept of “freedom gas” may seem amorphous, but it’s actually being measured down to the smallest unit.
“With the US in another year of record-setting natural gas production, am pleased that the Department of Energy is doing what it can to promote an efficient regulatory system that allows for molecules of US freedom to be exported to the world,” said Steven Winberg.
Jay Inslee @JayInslee This has to be joke.
Remember freedom fries? https://t.co/ei9Idg613X May 29, 2019 It’s unclear if members of the Trump administration attempting to assign patriotic intentions to natural gas are aware of the silliness of the concept, but Rick Perry seems to believe in it.
“Seventy-five years after liberating Europe from Nazi Germany occupation, the United States is again delivering form of freedom to the European continent,” the energy secretary said earlier this month, according to EURACTV.
“And rather than in the form of young American soldiers, it’s in the form of liquefied natural gas.”
Topics Gas Energy Fossil fuels news Share on Facebook Share on Twitter Share via Email Share on LinkedIn Share on Pinterest Share on WhatsApp Share on Messenger Reuse this content Most popular Environment Climate change Wildlife Energy Pollution News Opinion Sport Culture Lifestyle Contact us Complaints corrections SecureDrop Work for us Privacy policy Cookie policy Terms conditions Help All topics All writers Digital newspaper archive Facebook Twitter Advertise with us Search UK jobs Dating Discount Codes Support The Guardian Available for everyone, funded by readers Contribute Subscribe Back to top 2019 Guardian News Media Limited or its affiliated companies.
All rights reserved.
"
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	5	results	https://99designs.com/logo-design/contests/freedom-fuels-future-diesel-delivery-880373		Freedom Fuels - The future of diesel delivery | Logo design contesthttps://99designs.com › Logo design › Logo design contests	99designs.com	https://99designs.com › Logo design › Logo design contests	Freedom Fuels - The future of diesel delivery. joeburckhard1 needed a new logo design and created a contest on 99designs. A winner was selected from 169 ...		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png	NOODP,NOYDIR	Freedom Fuels - The future of diesel delivery | Logo design contest	200	https://99designs.com/logo-design/contests/freedom-fuels-future-diesel-delivery-880373	utf-8		"Categories How it works Find designer Agencies 800 513 1678 Log in Log in Home Logo design Logo design contests Freedom Fuels The future of diesel delivery Winning design by HAQUL Completed contest Freedom Fuels The future of diesel delivery joeburckhard1 needed new logo design and created contest on 99designs.
winner was selected from 169 designs submitted by 44 freelance designers.
169 entries 44 designers winner Learn more about logo design Entries from this contest by Basstome by MoerahRedjekie by blue09 by lulux by Xeous Design99 Some of the designers who made it happen Winner \- HAQUL HAQUL was great to work with and very responsive to my requests.
\- Anonymous Finalist \- MoerahRedjekie Very responsive to feedback constantly offering new ideas and concepts!
\- Astro Voyage Finalist \- lulux Lulux was exceptional in providing varying perspectives, views, shades, fonts and adjustments.
Worked promptly and professionally.
Very talented and attuned to my general conceptualization to develop logo that met my vision.
\- Anonymous Finalist \- Xeous Design99 Fast, helpful, responsive and committed designer, work hard to finish the job recommend her.
\- yahiaT How joeburckhard1 started their logo design journey Who are you known as?
Freedom Fuels Tell us bit about who you are and the people you reach Our business provides diesel sourcing and distribution and supports the oil gas arena.
What colors do you want to see in your design?
Designers choose Reds Blues To give us an idea of the overall feeling of your brand, let us know which styles you lean towards Classic Modern Mature Youthful Feminine Masculine Playful Sophisticated Economical Luxurious Geometric Organic Abstract Literal Design inspiration Other notes picture fierce Eagle/Falcon as part of our Logo.
Possibly incorporate Red, White, Blue or our nations Flag Just an idea Bronze package $299 Paid features Blog promotion Free features Blind contest Guaranteed Deliverables AI EPS PDF PNG JPG We've found some similar contests you might like need logo with no animals that is sleek, playful, energetic and clean.
399 $CA Pet products...
342 entries 54 designer graphistes Be part of the future: design logo for public figure Natasha Tsakos CHF 299 Natasha Tsakos is public figure.
She is conceptual director, idea generator, interactive designer, public speake...
235 entries 44 diseñadores 13 Year Old Champion Race Car Driver's Team Needs Logo Make History US$299 Gabe Sommers Racing is race team built around young racer who started at age 11.
This year at age 13 he became t...
49 entries 21 designers New Oil and Gas Company starting up in Colorado need new logo!
US$299 Oil and Gas Exploration and Production Company.
Operating in West Texas drilling horizontal oil and...
33 entries 18 designers New Year, New Logo for Dallas Plumbing Company $299 We provide residential and commercial plumbing repair....
187 entries 70 designers Health Coach Sisters logo!
Help us show our appealing, fun personalities!
We want to help improve others lives!!! $299 Three health coach sisters that help others find their best selves through balanced lifestyle.
Target audience wo...
82 entries 12 designers We saved spot for your logo design contest.
Get started now Tesseract Threads: ecological clothing company needs logo $399 I'm rebranding my clothing company for my transition to an ecologically sustainable business model.
will be making...
111 entries 32 diseñadores LILY Charitable Foundation INC.
LOGO DESIGN 299 US$ This is charity fund named after my English Springer Spaniel Lily.
would like to see multiple logos where her fa...
137 entries 25 designers Real estate logo, skeleton key vintage style look, plants somewhere or vine in logo or around key US$299 Real estate team targeting buyers and sellers in the real estate market...
34 entries designers Rosendale Family Farms need an attractive and memorable logo 299 We raise mostly corn and soybeans.
We have few cows.
We're located in west central Illinois...
116 entries 19 Designer Professional Sports Teams and Athletes Help Me Help Them Give Back US$799 WAYMARK Community Sport LLC is philanthropic consulting firm.
We work with primarily professional sports teams a...
698 entries 161 designers Residential real estate brokerage wants to start new year with cutting edge logo $299 We are new residential real estate brokerage in Florida.
We want logo that serves as our branding message for ou...
120 entries 30 designers Learn more about logo design contests Find out how design contest works or learn more about our logo design services.
"
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	6	results	https://fuelprice.io/station/freedom-fuels-rocklea/		Fuel prices at Freedom Fuels Rocklea | FuelPrice Australiahttps://fuelprice.io/station/freedom-fuels-rocklea/	fuelprice.io	https://fuelprice.io/station/freedom-fuels-rocklea/	Current fuel pricing at Freedom Fuels Rocklea. ULP 91 128.916 hours ago; E10 126.916 hours ago; PULP 95 141.916 hours ago; Diesel 147.95 days ago.		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png							
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	7	results	https://www.hutchinsonbuilders.com.au/projects/retail/freedom-fuels		Freedom Fuels - Hutchinson Buildershttps://www.hutchinsonbuilders.com.au/projects/retail/freedom-fuels	www.hutchinsonbuilders.com.au	https://www.hutchinsonbuilders.com.au/projects/retail/freedom-fuels	Freedom Fuels. Harristown, QLD. Sector. Retail. Subsector. Service Station. Client. Knox Investing & Bluepoint Property. Completed. 2016. Team Leader.		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png		Freedom Fuels - Hutchinson Builders	200	https://www.hutchinsonbuilders.com.au/projects/retail/freedom-fuels	Windows-1252		"HomeProjectsRetail Hutchinson Builders Search Suggestions Culture Green Star Downloads Offices The Truth 105 Party Careers Home Difference This is Hutchies The Building Blocks The Advantage The Backbone The Life Story The Heart Projects Civil Infrastructure Commercial Community Education Health Hospitality Tourism Industrial Mixed Use Residential Retail Capabilities The Feed News Media Downloads The Truth 100 Year Book Careers Contact Freedom Fuels Harristown, QLD Sector Retail Subsector Service Station Client Knox Investing Bluepoint Property Completed 2016 Team Leader Robert Weymouth Architect TRG Structural Engineer Westera Partners Electrical Engineer STP Consultants Mechanical Engineer STP Consultants Hydraulic Engineer BRW Enterprises More Information Learn More external-link Share icons $2M Project value icons 15 Weeks to build icons 90,000L fuel tanks Freedom Fuels Service Station Find out more about this project Name Email Message Submit Subscribe to Hutchies Hutchies.
family business 105 years in the making.
Australiaâ€™s best local and national builder.
The Hutchies Difference This is Hutchies The Building Blocks The Advantage The Backbone The Life Story The Heart Projects Civil Infrastructure Commercial Community Education Health Hospitality Tourism Industrial Mixed Use Residential Retail Capabilities Local, National Builder Services Sectors The Feed News Media Downloads The Truth Careers Apply The Hutchies Way Fair Go For All Training Statim-Yaga Contact Offices Key Contacts Other Businesses Tenders Subscribe Terms Credits (C) 2019 Hutchinson Builders Back to Top
"
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	8	results	https://www.petrolworld.com/headlines/item/29417-idemitsu-expand-presence-in-australia-via-freedom-fuels		Idemitsu Expand Presence in Australia via Freedom Fuels - Petrol Worldhttps://www.petrolworld.com/.../29417-idemitsu-expand-presence-in-australia-via-free...	www.petrolworld.com	https://www.petrolworld.com/.../29417-idemitsu-expand-presence-in-australia-via-free...	Mar 9, 2018 - Brisbane-based petroleum company, Freedom Energy Holdings Pty Ltd, which trades under the brand 'Freedom Fuels', and is a wholly owned ...		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png		Petrol World - Idemitsu Expand Presence in Australia via Freedom Fuels	200	https://www.petrolworld.com/headlines/item/29417-idemitsu-expand-presence-in-australia-via-freedom-fuels	utf-8	Thu, 08 Aug 2019 21:41:22 GMT	"Brisbane-based petroleum company, Freedom Energy Holdings Pty Ltd, which trades under the brand ‘Freedom Fuels’, and is wholly owned subsidiary of Idemitsu Kosan Co Ltd., has today finalised its acquisition of the shares in the company from Trinity Petroleum owner Dean Pradal, Member of PetrolWorld The move will expand the Freedom Fuels’ business footprint in Queensland, where it currently operates fuel importation, distribution and retailing business, with its 43 existing service stations being located in South-East Queensland and Northern NSW.
The Trinity Petroleum brand will remain, and it is intended there will be no changes to the Mobil brand in the foreseeable future.
For staff, the sale is “business as usual”. After 40 years with Mobil and Trinity Petroleum, owner Dean Pradal said he was excited about the future of the company under new ownership and that he expected that the business’ long history of community involvement in Far North Queensland would continue notwithstanding the change.
“I’d like to extend my personal and genuine appreciation to our customers and suppliers who have supported Trinity over many years they have contributed to Trinity’s growth and the company wouldn’t be where it is without their support”, Mr Pradal said.
“Handing over the reins of Trinity after 40 years has been hard decision but there comes point when we all need to take stock and give the company the stepping stone it needs to grow and expand.
It was important to me to find good fit for my staff, customers, local support and corporate image.
Freedom Fuels has key goals that are in line with Trinity’s, therefore making the choice an easy one.
Over the 40 years have watched Trinity grow from small one man, one truck operation to what it is today fully-fledged business employing over 176 staff, operating 18 retail sites through Northern Queensland and running 12 Road Tankers.
am proud of the Trinity team and what we have achieved over that time, and look forward to seeing the future growth of the company under the stewardship of Freedom Fuels and Idemitsu”. Mr Pradal announced that large portion of funds from the sale will be used to establish the Trinity Foundation, community-focused charity to support the Far North Queensland community.
More details about the Foundation will be announced at later date.
spokesman for Freedom Fuels said that” quality, well run businesses”, such as Trinity Petroleum, don’t come along every day and that the acquisition provided great opportunity to connect the existing business in the Southern part of the State through to the Far North, making it one of the largest Independent fuel companies in Queensland.
PW09032018 Editors Note: We wish Mr Pradel well and thank him for being subscriber and supporter of PetrolWorld on line services for the last 13 years.
Last modified onFriday, 09 March 2018 10:02 Tweet Latest from Administrator Editors Note: No Service Station to the Moon!
It's just not cricket!
2016 Copyright Petrol World.
All rights reserved.
"
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	9	results	https://www.whitepages.com.au/freedom-fuels-10055900/head-office-10153431B		Freedom Fuels, Head Office | Theodore Street, Eagle Farm, QLD ...https://www.whitepages.com.au/freedom-fuels-10055900/head-office-10153431B	www.whitepages.com.au	https://www.whitepages.com.au/freedom-fuels-10055900/head-office-10153431B	Connect with Freedom Fuels at Theodore Street, Eagle Farm, QLD. Find business, government and residential phone numbers, addresses & more on the White ...		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png							
Page 2 of about 2,62,00,000 results (0.31 seconds) 	10	2	Freedom Fuels	10	results	https://www.glassdoor.com/Salary/Freedom-Fuels-Salaries-E659068.htm		Freedom Fuels Salaries | Glassdoorhttps://www.glassdoor.com/Salary/Freedom-Fuels-Salaries-E659068.htm	www.glassdoor.com	https://www.glassdoor.com/Salary/Freedom-Fuels-Salaries-E659068.htm	No salaries available for Freedom Fuels, but Glassdoor has salaries for similar job titles, locations or employers.		/tmp/screenshots/2019-08-08/google_Freedom Fuels-p2.png							
